learning_rate,batch_size,l2,epochs_run,fit_seconds,predict_seconds,accuracy,precision_macro,recall_macro,f1_macro
0.01,2048,0.0,30,23.187312364578247,0.12183952331542969,0.960357258688222,0.7308371796470929,0.6460630738450399,0.6509317609424488
0.01,2048,1e-05,30,22.146402597427368,0.11456131935119629,0.9557069081655565,0.7315085785293918,0.6175188330584105,0.6265470287812931
0.01,8192,0.0,30,9.280600547790527,0.09771609306335449,0.9525235137090537,0.7104855635773072,0.6095937527543078,0.6205504764756182
0.01,8192,1e-05,30,12.122183799743652,0.09156966209411621,0.9520395180001497,0.7169681207710497,0.6083561059908587,0.6182110466691493
0.01,8192,0.0001,30,8.683969259262085,0.0894615650177002,0.9503580071351945,0.6768801247694521,0.594944755805289,0.6109872208631832
0.001,2048,0.0,30,19.909465074539185,0.09654927253723145,0.9504877379437667,0.71904723565203,0.596530669648088,0.6098138230610824
0.001,2048,1e-05,30,17.461798906326294,0.09653568267822266,0.9501883591547539,0.7145204231850435,0.5962728606087798,0.6096790828844187
0.01,2048,0.0001,21,14.636083126068115,0.10595893859863281,0.9507671581468453,0.752582003478313,0.5903555127541943,0.6074837868057532
0.001,2048,0.0001,30,20.14367437362671,0.09671473503112793,0.9483920864206771,0.677225327441476,0.583221489085517,0.6020603613707352
0.001,8192,1e-05,30,9.023938417434692,0.09760713577270508,0.9261382631040591,0.6519632259293755,0.5177412280047251,0.5332251861753788
0.001,8192,0.0,30,8.95517611503601,0.09227228164672852,0.9261931492153781,0.6515713025887496,0.5178085700446707,0.5332132071592258
0.001,8192,0.0001,30,8.760684251785278,0.10277867317199707,0.9250455305241624,0.6497693851590272,0.5168891576638571,0.5294678878504125
